GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,RGDE001,NAME_M,RGDM001
"G73047","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73047",,,,,,,"86000US73047",,"ZCTA5 73047",597,"ZCTA5 73047",43
"G73048","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73048",,,,,,,"86000US73048",,"ZCTA5 73048",492,"ZCTA5 73048",87
"G73049","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73049",,,,,,,"86000US73049",,"ZCTA5 73049",829,"ZCTA5 73049",106
"G73050","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73050",,,,,,,"86000US73050",,"ZCTA5 73050",.,"ZCTA5 73050",.
"G73051","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73051",,,,,,,"86000US73051",,"ZCTA5 73051",658,"ZCTA5 73051",34
"G73052","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73052",,,,,,,"86000US73052",,"ZCTA5 73052",591,"ZCTA5 73052",40
"G73053","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73053",,,,,,,"86000US73053",,"ZCTA5 73053",555,"ZCTA5 73053",129
"G73054","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73054",,,,,,,"86000US73054",,"ZCTA5 73054",748,"ZCTA5 73054",115
"G73055","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73055",,,,,,,"86000US73055",,"ZCTA5 73055",598,"ZCTA5 73055",66
"G73056","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73056",,,,,,,"86000US73056",,"ZCTA5 73056",554,"ZCTA5 73056",177
"G73057","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73057",,,,,,,"86000US73057",,"ZCTA5 73057",507,"ZCTA5 73057",55
"G73058","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73058",,,,,,,"86000US73058",,"ZCTA5 73058",913,"ZCTA5 73058",326
"G73059","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73059",,,,,,,"86000US73059",,"ZCTA5 73059",603,"ZCTA5 73059",58
"G73061","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"73061",,,,,,,"86000US73061",,"ZCTA5 73061",808,"ZCTA5 73061",65
